Puan	Yorum
0.0	Ürün çok kötü sapý ilk kullanýmda çýktý decathlon dan tekrar sipariþ verdim
0.0	Ürünü beðenmedim ayaðý sarmýyo
0.0	Ürün resimdekinden farklý geldi.
1.0	kýzým için aldým bu ürünü. çok beðendi. ürün saðlam görünüyor. ama henüz kullanmaya baþlamadýk.içinde toplarýnýn olmasý da ayrýca güzel. tavsiye edeceðim bir ürün
0.0	Dýþ Lastik tamam ama ic lastiðin ufak gondermis oldugu icin yeniden ic lastik almak zorunda kaldýk yani bana maliyet iki katý oldu.
1.0	Arkadaþýmýn kýzýna hediye aldým.keske fiyati daha uygun olsa
0.0	Ýstedik eksiksiz bir þekilde elimize ulaþtý ALLAH razý olsun çok teþekkür ederiz
0.0	3. gün kýrýldý ve çöp oldu
0.0	Çok çok iyi paketlenmiþ ama termos kapaðý ezik geldi
1.0	Çoooook beðendim,boyutu ve kalitesi harika,çok teþekkürler
1.0	Kýsa sürede bot þiþirmek için güzel, ayrýca havayý emme özelliði sayesinde kolayca havasýný alýyorum. Tavsiye ederim.
1.0	Kalýbý çok dar ama güzel
1.0	Gelen ürün cizik ve hasarliydi bu nedenle iade ettim
1.0	Ürün güzel kalýn iþ yeri için almýþtým gayet kullanýþlý
1.0	Ürün görseldeki gibi güzel bir ambalajla ve kargo ile özenli gönderildi çok beðendi oðlum gayet kaliteli ve güzel bir çanta.
1.0	Hýzlý Kargo Satýcý Çok Iyi Teþekkürler Sapasaðlam geld
1.0	güzel ürün 38 almýþtým ama iade ettim 38.5 aldým gayet iyi oldu biraz kaba gösteriyor ayaðý
1.0	Tek kelime ile harika
1.0	gayet güzel 46 giyiyorum tam oldu kalitesi ortalama
1.0	Ürün fiyatýna göre gayet iyi
1.0	Güzel bir ürün kutup ayýsý garantili  son derece kaliteli.
1.0	Türkiye’de 2000 istedikleri üründen hiçbir farký yok tam numaranýzý alýn gönül rahatlýðýyla alýþveriþ yapýlýr
1.0	Ürünüm elime sorunsuz geldi süper
1.0	Tek kelimeyle kalite..
1.0	çok büyük, çantanýza falan sýðmaz
1.0	Biraz kýsa bantlar ama iþi görüyor
0.0	Çizik ve iplikleri çýkmýþ olarak geldi kesinlikle tavsiye etmiyorum. Þehir dýþýna çýkarken acil ihtiyacým olmasa hemen iade ederdim. Ýþim bitiþinde direk çöpe atacaðým bir valiz. Parasýný asla hak etmiyor. Bunu alacaðýnýza daha kaliteli üç kuruþ fazla verip baþka biþey alýn. Benim yaptýðým hatayý yapmayýn
0.0	Yorum yazana kadar her tarafý açýldý!!
0.0	Almýþ olduðum stanley marka termosu sýcaklýðýný muhafaza etmemesi ve dakikalar içerisinde soðutuyor olmasýndan dolayý ürün kontrolünün  saðlanmasý adýna ve aracý firmanýn önerisi üzerine kutup ayýsý firmasýna gönderimini saðladým. 21 gün inceleme süreci baþlatýldý, problemin kendilerinden kaynaklý olduðunu  kabul ettiler, tekrar ürün göndermek içinse ekstra 21 günlük bir süreç söylediler, yaklaþýk olarak iki aydýr termos ortada yok. Sýcaklýðýný muhafaza etmemesinden dolayý ise orijinalliði þüpheli. Süre sürekli uzuyor. Bu markayý  sürekli kullanýyorum. Fakat   ilk kez Hepsiburada aracýlýðý ile ürün alýp böyle bir sorunla karþýlaþmam utanç verici. Ayrýca satýcý kutup ayýsý firmasýnýn ise son derece baþtan savma bir politika izlemesi sýfýr memnuniyet ve öneri. Asla tavsiye etmiyorum, baþka firmalardan da  maðdur olmadan bu markanýn ürünlerini bulabilirsiniz.
1.0	HENÜZ KULLANMADIÐIM VE YIKANMADIÐI ÝÇÝN TAM MANADA BÝR YORUM YAPMAK ZOR ANCAK KUMAÞ OLARAK KALÝTELÝ YAPIYA SAHÝP OLDUÐU SÖYLENEBÝLÝR ALTTAN VEYA ORDAN BURDAN SARKAN ÝPLÝKLER MEVCUT ANCAK BUNDAN PUAN KIRMIYACAÐIM. BÝRAZ SLÝM FÝT GÝBÝ BOL SEVENLER 1 ÜST BEDEN TERCÝH ETMELÝ.
1.0	Bekledigimden iyi ve kaliteli,
1.0	Çanta elimize ulaþtý kalite iyi normal kullanýþlý iyi bir çanta
0.0	Topun görselini görüyorsunuz pekte yazacak birþey yok gerçekten ayýp bu þekilde kullanýlmýþ gibi top göndermeye giçmi utanmýyorsunuz
1.0	Kaliteli ve güzel bence güvenle alabilirsiniz
1.0	Ürün fiyatýna göre gayet iyi ve kaliteli. Kargo da çok hýzlý. Emeðinize saðlýk..
0.0	Termos resmen Allaha emanet gelmiþ, kutuya hiç sarmadan direkt atmýþlar çizik var biraz ve oldukça pis. Hepsiburada’dan direkt aldým ürünü ama ancak bu kadar özensiz olabilirlerdi.
1.0	Ürün kaliteli ve gayet sorunsuz bir þekilde geldi
1.0	Gercekten güzel bir ürün. Teþekkürler hepsi burada
0.0	Dýþý plastik , içi doldurulmuþ , bazýlarý darbe almýþ , aðýrlýklarda hangisinin kaç kg olduðu yazmýyor(süpriz olsun istiyorlar galiba) ve demirler çok ince zorlasan kýrýlcakmýþ gibi . Sadece fiyatý biraz düþük olduðu için iade etmedim . Günlük evde kullaným için idare eder .
1.0	Gayet hýzlý ve güzel ulaþtý elime
1.0	Zamanýnda geldi teþekkürler
0.0	Birinin Kilifi yirtik digerinin kolu ezilmis,sanki bedava veriyorlarmis gibi
1.0	Sýcak ve soðukta süper bu kadar beklemiyordum
1.0	Arabanýn bardaklýðýna sýðan boy bu. Büyükleri sýðmýyo
1.0	Sadece kötü yaný biraz kalýn bisiklet kullanýrken tam kavrayamýyorum ama onun haricinde herþeyi çok güzel tavsiye ederim
1.0	Kalite marka belli ediyo kendini 2 gün kullandým henüz ama sýcaklýðý güzel koruyo baþarýlý
1.0	Ürünün verdiði kalite ve güven hissi son derece iyi fakat hepsiburada satýcýsýna paketleme konusundaki ciddiyetsizliði yakýþtýramadým.
1.0	43 giyiyordum 43 aldým biraz sýktý. sorunsuz iade ettim 44 aldým tam oldu. gayet güzel çok memnunum
1.0	Elime sorunsuz ulaþtý denemedim kamýþ güzel hafif görünüyor hýzlý kargo teþekkürler
1.0	Satýcý harika, göndermiþ olduðu ürün orijinal. Hýzlý gönderim için çok teþekkürler. Yorumlardan biraz korkmuþtum ama iyiki bu satýcýdan almýþým.
1.0	Yeteri kadar uzun süre sýcak tutuyor.  Görüntüsü þýk duruyor.
0.0	küçücük birþey
1.0	Oncelikle ürünü hýzlý bir þekilde kargoladigi icin satýcýya teþekkür ederim. Urun genel olarak guzel, fiyatýna gore gayet kaliteli sýcak tutan bir ürün. Kol dikiþleri pek ozenli deðil buna daha fazla dikkat edilebilirdi.
1.0	Memnun kaldýk
1.0	koptu hemen.
0.0	2 adet aldým. Kolu hemen açýldý. Çok kaliteli deðil. Markasýna aldanmayýn. Bildiðiniz piyasa malý.
1.0	Okul a giden ve çok terleyen çocuklar Ýçin alýnasý gereken bir ürün teri hapsetiyor çocuklarý terinin üzerinde kuruyup hasta etmiyor güzel bir ürün
1.0	çok güzel teþekkürler
0.0	Çok kötü bir ürün, iki eldivende de parmak kýsýmlarýnda sökükler mevcuttu. Terziye götürüp diktirmek zorunda kaldým
1.0	Çok kullanýþlý kýsa zamanda ulaþtý
1.0	Ürün güzel ilk zamanlar biraz büyük gibi duruyor ama  iþ görüyor iþ icabi devamlý kullanýyoruz 4 kere aldým buradan hýzlý gönderim için de teþekkürler..
1.0	Beðendim güzel kullanýþlý ??
1.0	Oldukca kaliteli evladiyelik gelismeye tesvik edici ve tabiki zor
1.0	Fiyat çok iyi kaliteli ve güzel ürün.
1.0	Fiyatýna göre iyi seviyede alýnýr
1.0	Kendi bedenimi aldým ve ürün tam istediðim gibi.
0.0	Ürünlerin tamamý ayný boy gonderýlýyor alýþ veriþ yapmayýn
1.0	Ev kullanýmý için aldýk, seçmemizde en büyük etmen bant geniþliði ve taþýma kapasitesi oldu, oldukça sessiz çalýþýyor, severek kullanýyoruz
1.0	Ürünün aynýsýndan kullanýyorum çok saðlam.yedek Olsun diye ikincisini aldým.
1.0	Kampa giderken yanýmda götürüyorum. Oldukça kullanýþlý ve saðlam. Kahve veya çay koyduðumda uzun süreler ilk demlenmiþ sýcaklýðýnda tutuyor.
1.0	denedim iþ yapýyor
1.0	Kalinlik olarak orta kalinlik, sicak tutuyor. Tabi ekim/kasim aylarinda disarida iken veya Nisan/Mayis aylarinda disarida montsuz giyilerek cikilabilir. (Ankara da)
1.0	Ürün fiyatýný hak ediyor, dokusu rahat ve görünüþü çok güzel, sýcak tutuyor, hafif, yer kaplamýyor, kalýbý tam oluyor.
1.0	Harika görünüyor.Kýrýk gelsede hediye için teþekkürler.
1.0	1.63 60 kiloyum m beden tam oldu. Sýký sýký sarýyor ve sýcacýk.
1.0	kalitesi tartýþýlmaz ömürlük bir ürün kargo iki hafta sümeseydi daha iyi olurdu
1.0	harika bir ürün
1.0	ayakkabý çok yumuþak çok rahat bir ayakkabý. ayakkabý numaranýz neyse onu almanýzý tavsiye ederim. benimki ayaðýma tam oldu.  tavsiye ederim.
1.0	11 Ekim yazýyordu teslim tarihi için 1 Ekim'de elime ulaþtý ,fotoðrafta göründüðü gibi birebir,kaliteli görünüyor,henüz kýzým giymedi ama burda muadilleri herhlade  bin iki bin arasýdýr ,tavsiye ederim
1.0	Ürün görseldekinden daha güzel ve hafif taktik pantolonlarýn da altýna çok güzel oldu tereddüt etmeden alabilirsiniz ancak satýcýdan 1 puan kýrdým sanýrsam denenmiþ ürün gönderilmiþ ????
1.0	Gayet iyi. Uygun fiyat
1.0	Gayet kaliteli cebler biraz dandik geldi bana ama iþ görür
0.0	Birkaç kullanmada kopçak kýsmý koptu hemen
1.0	Güzel kumaþý daha ince kaliteli duruyor
1.0	Kalitesi orta içi astarlý deðil
1.0	Yurt dýþýndan geldiði halde 10 günde geldi,Saðlam güzel ayakkabý.Resimdekinin aynýsý.
1.0	Muazzam. Tam bir stanley klasiði. Travel mug termosundan zaten çok memnundum bu daha efsane. Taþýma sapýnýn katlanýr olmasý yer kazandýrýyor. Sýcak performansýný denemedim ama soðukta kumsalda bu 42 derece sýcakta 8 saat buzluydu, eve geldim gece 2 de hala buz varý içinde. Acaip bir þey. Kalite akýyor. Kesinlikle bu segmentte alýnabilecek tek ürün.
1.0	Güzel çanta
0.0	Eldivenler saniyesinde soyuldu resmen, derileri döküldü
1.0	Hafif ancak geniþ bir çanta.Tam istediðim özelliklere sahip olduðu için tercih ettim.Orijinal üründür tereddütsüz alabilirsiniz. Kargo hýzlýydý 2 günde elime geçti.
0.0	Ürün çok kötü geldi hiç tavsiye etmiyorum ayakkabý iç tabaný hepsi sökük ve alttaki karton da sökük geldi
1.0	Flaþ back özelliði yok
1.0	Ürünü oðlum için almýþtým ayaðýný sýktýðý için iade ettim. Ama görseldeki gibi ayakkabýnýn kenarýnda bulunan top logosu yoktu.
1.0	Made in turkey yazýyordu yabancý ülkede üretiliyor diye biliyordum,gayet güzel paketlendi. tam numaranýzý alýn
1.0	Ürün beklediðimden de güzel ve kaliteli hýzlý kargo için teþekkür
1.0	Alsiyonu gayet baþarýlý. 0-8 gr. arasýnda kalmýþtým. Ancak boy faktörüde var 18 cm daha uzun. Uzun boylu olan kiþiler için daha baþarýlý.
1.0	Saðlam deðil biri kýrýldý
1.0	Memnun kaldýk baþarýlý.ebatý gayet yeterli.
1.0	Tam da beklediðim gibi teþekkür ederim ????
1.0	Ava gitmek için aldým çok beðendim özellikle domuz avcýlarý alabilir m giyiyorum m aldým tam oldu satýcýya teþekkürler
1.0	175 cm 85 kg.yim m aldým gayet oldu beðendim çok beklentim yoktu ama iyi geldi
0.0	Ürünü arkadaþýmdan gördüm ve hevesle aldým, fakat bana kullanýlmýþ ve iade alýnmýþ ürünü gönderdiler.
0.0	Tutacak kýsmý küçük, yay ise yumuþak. Çok kolay sýkýlýyor. Hoþuma gitmedi.
1.0	Paketleme mükemmel hayatýmda ilk defa böyle bi paketleme gördüm ve içinden suprizide var yani çok sevindim kolay gelsin
1.0	Tek kelimeyle mükemmel
0.0	Ýðrenç bir krampon sakýn almayýn
1.0	Ýðneler keskin
1.0	Orijinal ve fiyatý uygun ayakkabi. Kargo 2 gün içinde geldi. Teþekkürler.
0.0	Normal bir pin pon topundan küçükler ve iyi zýplamýyorlar.
1.0	Güzel ürün. Severek kullanýyorum
1.0	Göründüðü gibi gayet güz
0.0	Sipariþ verdiðim ayakkabý 37 numara ve mavi gelen siyah renk ve 42 numara çok rezalet bir durum kýzým için almýþtým çok üzüldü ayrýca bu durum içinde firmayý kýnýyorumm
1.0	Ürün çok iyi korunaklý bir þekilde geldi, gayet güzel ve kullanýþlý
1.0	Ürün harika bir ürün.
0.0	2 takim istedik tek takim geldi. Bu nasil bir ilgisizlik
1.0	Ayakkabý güzel hýzlý kargo için teþekkür ederim yalnýz Ayakkabý baðcýðýnda yanýk lekesi var kontrollerinizi iyi yapýn.
1.0	olumsuz yorumlara bakýp tedirgin oldum, nasýl olsa iade ederim diye aldým... teþekkür ederim tam istediðim gibi... hafif dolgu malzemesi ne çok sýkýþtýrýlmýþ ne de içi boþ... tek eksik aský yeri... o da nazarlýk olsun... haki aldým bir de siyah alacaðým
1.0	Ayakkabý çok iyi kaleteli ve rahat
1.0	Diz dikiþ yerlerine yaðmur suyu için takviye yapýlsa iyi olur kanýmca ' zira yaðmur sadece oralardan giriyor
1.0	Çok kullanýþlý ??
1.0	Çok iyi.
1.0	Aynen fotoðraftaki ürün geldi,daha öncede kullandýðým ve memnun kaldýðým bir ürün..teþekkürler
1.0	Tüm özellikleri kusursuz çalýþýyor,fiyatýna göre harika bir ürün..
0.0	Gunes saticisindan siparis verdim fakat benden habersiz bir sekilde iptal edilmis
1.0	Enteresan bi kokusu vardý kolonyalý mendille silince gitti mendilin etkisi gidince yine kokar mý (2,3 saat kullandým sorun yok) hepsinde olan bi koku mu bilmiyorum bunun haricinde bi problem yok
1.0	Aynen göründüðü gibi kullanýþlý tavsiye ederim
1.0	Hýzlý kargo ve teslimat için teþekkürler
0.0	daha önceden deltadan aldýðým pilates setinin içerisinde vardý 3 tane bende aynýsý diye düþündüm aldým ama baktýmki 3 lastikte öncekilerin 3 de biri kalýnlýkta yani geniþlikleri çok ince hayal kýrýklýðý yaþadým doðrusu . görselde kalýn lastikler  var sizide yanýlmasýn. dikkat  !!!!
1.0	Urun cok kaliteli uzun süre sýcak muhafaza ediyor satýcýya teþekkürler
1.0	Kalitesi Güzel,Hoþuma gitti.
1.0	Paketleme güzel. Ezik çizik yok. Hýzlý kargo edildi. Markanýn kullanýmý henüz tarafýmdan test edilmedi. Ancak yorumlar neticesinde hareket ederek aldým. Umarým yorumlarda olduðu kadar baþarýlý olur.
0.0	Ürün 2 li görünüyor ancak içinde bir adet var. Ayrýca kargoya verilmesi ve teslimi çok uzun sürdü. Ürünü iade edecektim ama içindeki aparata ihtiyacým olduðundan iade etmedim. Bu satýcýdan alýþ veriþ yapmayýn
1.0	Fiyat performans.
0.0	Vidalar ayarsýz, ikinci el bir ürün havasýnda hiç 0 izlenimi vermiyor beyaz dedik çok küçük bir kýsmý beyaz ürün geldi. Gidon vidalarýný sýkmýþtým ilk sürüþte gevþedi tekrar çevirdim bu sefer vida boþa dönmeye baþladý. El tutacaklarý görüntüdeki gibi deðildi. Menzil ve performans fena deðildi ama hiç saðlam hissi vermedi. Yenilenmiþ bir ürün gibi Hifree yazýsý bile sonradan yapýlmýþ gibi
1.0	Görüntüsü gayet güzel giydikce daha güzel olacak
1.0	Harika bir ürün.
1.0	Tam bir fiyat performans ürünü, amatör takýlacaksanýz iþinizi görecektir.. 1 ~ 1,5 km içinde netlik ayarý yapabiliyorum, gözlüðümü çýkarýp, lens ayarýný yaparak gözlüksüz olarak da net biçimde görüyorum.. Zoom özelliði yok.. Profesyonel takýlacaklar daha pahalý olan modellere yönelmeli.. Teþekkürler hepsiburada...
1.0	Çok iyi aydýnlatýyor gerçekten.beklemiyordum bu kadarýný.
1.0	Ürün güzel kaliteli.
1.0	Hakkýný vermisler . Teþekkür. Fiyatý uygun tutarlarda sürekli maðazam burasý artik
1.0	Ürün fiyatýna göre gayet kaliteli ve kullanýþlý. Ayrýca hýzlý kargo ve hediyeniz için teþekkürler.
1.0	Gayet  güzel kargo hýzý da iyiydi memnun kaldýk
1.0	Çok beðenildi. Kurulumu zor bu iþten anlamak lazým. Tavsiye ederim. Çok az bir ses var o da kurulumdan kaynaklý uðraþmak istemedim. Tavsiye ederim. Kargo yaklaþýk 10 - 12gün sürüyor.
1.0	Kullanýþlý güzel.
0.0	10 yaþýna kadar ideal
1.0	soðuk içecek için yaklaþýk 1 saat sürede ilk yudum ile son yudum neredeyse ayný.
1.0	Parasýna göre iyi.
0.0	Orjinal deðil sanýrým ayaklarýmýzý vurdu,
1.0	baþarýlý.
1.0	Kamplar için gerekli bir ürün
1.0	Stanley kalitesi tartýþýlmaz..
1.0	Ýlk önce paketleme çok iyiydi. Göruntüsü ve hissiyatý çok kavi. Performansi için önümüzde ki yazý beklemek zorundayým ama bavullarý beðendim.
1.0	Saðlam temiz
1.0	ömürlük
1.0	Kapaginda bi darbe vardi kargo kaynakli degildi cok rahatsiz etmedi haricinde guzel
1.0	Çok baþarýlý. Uygun fiyata.
0.0	10 Gün Bekledim, Kargomu Ýptal ettiler bu nasýl bir madur edilmek. Son dakika Krampon almakla uðraþýcaz þimdi
1.0	Bekleneni verdi is gorur dolgu maddesi basarili
1.0	Orjinal ürün harika
1.0	Sadece transparan olduðu için bir puan kýrdým
1.0	Gayet güzel, göründüðü gibi.. tavsiye ederim
1.0	Orijinal Ürün güzel bi ayakkabý kendi numanazý alabilirsiniz .hýzlý kargo  teþekkür ederiz.
1.0	Anlatýldýðý gibi hýzlý kargo
0.0	Bir kere kullandým kýrýldý paranýzý boþa harcamayýn
1.0	Oldukça rahat ve þýk. Ancak biraz ince.
0.0	Dikiþler çok kötü
1.0	Tesekkurler hizli kargo istedim urundu saolun
1.0	ürünün kendisi çok iyi olsa da ürün hasarlý, ezik, darbe almýþ þekilde elime ulaþtý. bu yüzden iade ediyorum. ayrýca ürün faturasý yoktu, orjinal paketinde de gönderilmedi.
0.0	Hayal kýrýklýðýna uðradým resmen. 6 saat bile suyu sýcak tutamadý. Yorumlarýn  ve instagram influencerlarýnýn övgülerine kanarak aldým piþmaným. Bu kadar pahalý bir üründen bu performansý beklemiyordum.
1.0	Bir beden küçük alýnmalý
1.0	YDS kalitedir Colombia ya ile baþa baþ deneyim önde bir üründür yerli malý sonuçta
1.0	Fiyatýna göre çok iyi bu fiyata ne alýnýr ki.
1.0	fiyatýna göre oldukça iyi bir ürün. profesyonel bir set beklemeyin. ama çocuklar ve ara sýra amatörce oyunlar için oldukça mükemmel. ürünün çantasý kaliteli deðil, vasat sayýlabilir. kargolama güzeldi
1.0	Gayet hýzlý geldi ve oldukça büyük kalýn kollu olanlar için bile çok ideal ben iki kere doluyorum koluma
1.0	Ýstediðim gibi, fiyatý iyi, tam numarasýnda aldým tavsiye ederim.
1.0	Defolu geldi çizikti küçük biþey ama önemsemedim
1.0	Gerçekten çok fazla büyük çok beðendik
1.0	Çok iyi çok kaliteli
1.0	Sorunsuz
0.0	Ürün son derece kalitesiz hemen iplikleri söküldü. Dikiþ yerleri çok kötü yapýlmýþ.Arka yazýlarý orantýsýz derecede küçük.
1.0	Teþekkürler
1.0	Ürün sýkýntýsýz geldi , bazen hiç su almýyor bazen alýyor , bazen buðu yapmýyor bazen yapýyor. Profesyonel düþünmüyorsanýz idare eder
1.0	Büyüklüðü fiyatýna göre çok çok iyi, sevdik biz
1.0	Eðlenceli, f/p ??
1.0	Çok memnun kaldim
1.0	Ürün avuç kadar biþe, görsele çok aldanmayýn. Fakat kullanýþlý bi ürün.
1.0	Çanta güzel fiyatýný hakediyor.
1.0	Ürün çok heybetli gözükmekte ve aðýrlýk olarak alýþýlagelmiþlerden biraz fazla. Süspansiyonlarý çok efektif ve diðer süspansiyonsuzlar gibi böbreklerinizi hissetirtmiyor. Hýzý yasal sýnýrlarda ve hýzlanmasý yavaþ yavaþ olmakta fakat bir kaç tuþ kombinasyonu ile hýzý 50km/h’a kadar çýkabilmekte ve atikliði daha da arttýrýlabilmekte. Telefon uygulamasý ios’da mevcut olan scooterhub isimli bir program. Uygulama biraz yetersiz olmakla birlikte geliþtirileceði konusunda bilgiler mevcut. Yedek malzemelerini internette bulamadým fakat servisten temin konusunda ümitliyim. Ayrýca taahhüt edilenden çok daha erken zamanda, çok güzel paketlemeyle gönderildi. Sonrasýnda ürün ile ilgili herhangi bir sýkýntýnýn olup olmadýðý konusunda aradýlar ve servis ihtiyacý olursa ulaþabileceðim telefon numaralarýný ilettiler. Ýlgileri için çok teþekkür ederim.
1.0	Öncelikle hýzlý geldiði için teþekkür ederim. Yeðenim çýk beðendiði için aldým. Renkleri ve kalitesi çok güzel. Tabanýný da çok beðendim. Fotoðraflardan daha iyi. Herkese tavsiye ederim. Kendi numaranýzý alýn. Kalýplar ideal.
1.0	Ürünün paketlemesi güzel deðildi ama yine de sorunsuz geldi. Termos zaten Stanley kalitesi rengi de fotoðraftan daha güzel. Ayrýca ürünün sýcak tutma özelliði de bulunuyor,  5 saat çok sýcak sonrasýnda ise ýlýk bir þekilde muhafaza edebiliyor. Almak isteyenlere öneririm
1.0	fiyat  / kalite iyi seviyede
1.0	Satýcý oldukça ilgili ve ürünler fiyat performans
0.0	iç lastiklerin sipbop arýzasý vardý hemen iniyordu
1.0	Doða yürüyüþlerinizde ve piknikte yanýnýzda olmasý gereken ürünlerden biri.Kullanýmý kolay paketleme süreci ve kargolama süresi gayet baþarýlýydý.Firmaya gösterdikleri özenden dolayý teþekkür ederim.
0.0	hemen kopuyor
1.0	ürünler gayet kaliteli,bazý yorumlardaki gibi aðýrlýklar bardan kaymýyor.iyi sýkýþtýrmamýþ olabilirler.açýklamalarda yazdýðý gibi ne ses var ne koku.çok beðendim.bence yanýnda bir de göðüs çalýþmak için uzun bar koyacaðý olan aðýrlýk sehpasý da alýrsanýz eksiksiz evde çalýþabilirsiniz.
1.0	Gayet güzel beklentimi karþýlayacak bir ürün. Saðlamlýkta da gayet baþarýlý kalitesi içinde fiyat performans diyebilirim…
1.0	Kurulumu kolay amacýna uygun tavsiye ederim
1.0	Güzel tavsiye ederim
1.0	Úrün bence gayet iyi faydalý.annemin sýrtýna uyguladým.gayet baþarýlý bir ürün
1.0	ürün kaliteli güzel
0.0	Ürün kullandýkça kenarlarýndan parça parça dökülüyor. Her spor sonrasý pembe  toz süpürüyorum
1.0	Teþekkür kaliteli ürün.  kalýn tavsiye ederim
0.0	Ýçinden þýkýr þýkýr ses geliyordu kapaðýný açtým bi küçük plastik parça kýrýlmýþ. Bilinçli yollanýp elden çýkarýldýðý çok açýk. Stanleyin bu ürünü fazla narin.
1.0	42 Numara giyiyorum ve kendi numaramý aldým. Bu fiyata alýnabilecek en makul bot. Su geçirmez deðil onun için de ayrýca sprey aldým kullanmadan önce Ankarada lazým olacak. Fiyat performans ürünü streçli kendi paketiyle bir günde geldi. Teþekkür ederim
1.0	Çok güzel iþ görüyor
0.0	Cep kýsmýnýn içi dikilmemisti
1.0	Çok güzel ürün saticiya teþekkür ederim hýzlý kargo ve paketleme icin
1.0	10 numara ürün
1.0	Ürün þimdilik gayet güzel test ettim umarým uzun kullaným sonrasýnda piþman olmam
1.0	Ürün çok güzel ama bu kadar ufak beklemýyodum
1.0	Ürün çok iyi ve rahat sanki ayaðýnda yokmuþ gibi
1.0	Fiyat/Performans açýsýndan güzel bir ürün.
1.0	Ürün gayet güzel. Kesimi düzgün polarý kaliteli ve ince dokulu.
1.0	Çok þýk akýcý bir yol gidiþi var. Hafif bir bisiklet. Bence kaliteli bir bisiklet kurulumu kendim yaptým. Ama servise giderseniz garantiniz baþlar benim gibi yaparsanýz garanti dýþý kalýr. Fiyatýna göre bence baþarýlý.
1.0	iyi fiyat
1.0	Ürün bana 11 günde geldi ve memnunum gayet güzel alabilirsiniz
1.0	Güzel, þýk ve kaliteli ayakkabý
1.0	Stanley kalitesinden ödün vermiyor. Bu 3. Termosunu alýþým. Çok memnunum
1.0	Fiyat olarak iyi. Kalite baya düþük. dikiþler hemen açýldý
1.0	Kalýbý modeli çok güzel
0.0	Çok kalitesiz sistemi farklý çok sesli çalýþýyor.
1.0	Güzel bir ürün.
1.0	Deprem çantasý yapmak için almýþtým. 1 yýldýr bende duruyor. Körükle birlikte bayaðý bir eþya alýyor içine. Laptop koyma kýsmý ve iki yanýnda þiþelik arayan varsa bu çantada yok. Sadece bir tarafýnda þiþelik yeri var.
1.0	Ürün çok iyi çok kaliteli. biraz geç geldi yurtdýþýndan geldiði için sadece .
1.0	Ürün çok kaliteli..
1.0	Mükemmel paketleme
1.0	Sertliði gayet iyi, kaliteli ve fiyat uygun. Teþekkürler.
1.0	Kargo tam teslim gününde geldi ve hýzlý , kutu darbe almýþtý ama üründe hasar yoktu , aðýrlýðý orta boþ zamanlarda yapýlabilecek tarzda.
1.0	Fiyat performans mukemmel
1.0	Ben çoðu kiþi gibi direk gelir gelmez kargolanmasý görünüþü için yorum yapmýyorum… ürün aþýrý kullanýþlý dün maçta kullandým çok kullanýþlý fiyatýnýn çok üstünde bir ürün ayaða tam oturuyor ve þutlarý çekerken de çok aþýrý iyi tam numaranýzý almanýzý öneririm
0.0	Paranýzý boþuna vermeyin kalitesiz bi malzeme
1.0	severek aldým ama renginde resimdeki ni istemiþtim koyu yeþil gibi biþey geldi.hýzlý kargo için teþekkürler.
1.0	Gayet iyi
0.0	Ürün evin içinde oynarken dikenli çiçek tarafýndan ilk temasta delindi. Bu nedenle olumlu puan vermiyorum
1.0	Bayýldýmmmm
0.0	Çok minik
1.0	Harika bir ayakabi cok begendim
1.0	Ürün gayet baþarýlý ve kaliteli. Zamanýnda ve sorunsuz teslimat için teþekkürler.
1.0	Bayýldým küçük gibi duruyor ama dünyanýn þeyini aldi
1.0	Fiyat performans olarak güzel bez oluþu rahat hediye için teþekkürler
1.0	resimdeki gibi, fiyat-performans ürünü. 1 cm kalýnlýðýnda, boyu 1.80 ve çok çok hafif. spor dýþýnda piknik vs için bile taþýnarak kullanýlabilir diye düþünüyorum
1.0	Kalite kokan bir ürün. Çocuðuma aldým, severek kullanýyor.
1.0	Hizli kargo ve saglam paketleme teþekkür ederim
1.0	Ürünü eþime almýþtým çok memnun kaldým çok beðendi yürüyüþ için almýþtýk hiç sýkýntý yaþamadý
0.0	Ürün çok kötü orijinal deðil bence hemen fermuar bozuldu kesinlikle tavsiye etmem geri yollamadigima piþman oldum
1.0	Güzel tavsiye ederim..
1.0	Kumaþý çok güzel sýcak tutuyor Eþime aldým çok beðendi. Fakat ceplerin iç kýsýmlarý delik dikiþ hatasý var inanýn çok üzüldüm. Ve almadan önce tüm yorumlarda ayný þikayeti görmüþtüm. Ve aldýðým üründe de ayný hata var. Lütfen daha dikkatli olun. 
1.0	Bu fiyata göre çok güzel  90kg 180 cm XL tam oldu.
1.0	Ýkinci sipariþim çok beðendik. Fakat 2 adet ürün aldým 1 tane bere geldi.
0.0	Urun güzel satici defolu olani gönderdi
1.0	Ürünü indirimdeyken aldým. Hemen denedim. 15 saat önce koyduðum su baktýðýmda hala el yakacak haldeydi. Ayrýca sýzdýrma yapmýyor kontrol ettim. Ürünün paketi kargodan kaynaklý kötü durumdaydý elime ulaþtýðýnda. Ancak ürün o kadar iyi ki beþ yýldýzý hak ediyor. Kesinlikle tavsiye ederim ??
0.0	Kargo teslim etmiþ görünüyor ama teslim almadým . Ürün hakkýnda yorum yapamýyorum çünkü henüz elime ulaþmadý, ulaþtýðýnda yorumumu güncellerim.
1.0	Çok iyi kaliteli tavsiye ederim .
